[2026-08-02 04:11:58] info: 	z2m: Logging to console, file (filename: log.log)
[2026-08-02 04:11:58] info: 	z2m: External JS (converters/extensions) is disabled
[2026-08-02 04:11:58] debug: 	z2m: Loaded state from file D:\InnovatsiiEMSSensorsCode\esp-workspace\ZigbeeMqtt\zigbee2mqtt\data\state.json
[2026-08-02 04:11:58] info: 	z2m: Starting Zigbee2MQTT version 2.12.1 (commit #aa909a8a)
[2026-08-02 04:11:58] info: 	z2m: Starting zigbee-herdsman (10.6.1)
[2026-08-02 04:11:58] debug: 	z2m: Using zigbee-herdsman with settings: '"{\"network\":{\"panID\":2881,\"extendedPanID\":[109,13,92,123,173,51,117,239],\"channelList\":[11],\"networkKey\":\"HIDDEN\"},\"databasePath\":\"D:\\\\InnovatsiiEMSSensorsCode\\\\esp-workspace\\\\ZigbeeMqtt\\\\zigbee2mqtt\\\\data\\\\database.db\",\"databaseBackupPath\":\"D:\\\\InnovatsiiEMSSensorsCode\\\\esp-workspace\\\\ZigbeeMqtt\\\\zigbee2mqtt\\\\data\\\\database.db.backup\",\"backupPath\":\"D:\\\\InnovatsiiEMSSensorsCode\\\\esp-workspace\\\\ZigbeeMqtt\\\\zigbee2mqtt\\\\data\\\\coordinator_backup.json\",\"serialPort\":{\"baudRate\":115200,\"rtscts\":false,\"path\":\"COM19\"},\"adapter\":{\"disableLED\":false}}"'
[2026-08-02 04:11:58] debug: 	zh:adapter:discovery: Connected devices: [{"path":"COM19","manufacturer":"wch.cn","serialNumber":"6&2F3C7C57&0&4","pnpId":"USB\\VID_1A86&PID_7523\\6&2F3C7C57&0&4","locationId":"Port_#0004.Hub_#0002","friendlyName":"USB-SERIAL CH340 (COM19)","vendorId":"1A86","productId":"7523"},{"path":"COM3","manufacturer":"Intel","pnpId":"PCI\\VEN_8086&DEV_9D3D&SUBSYS_80FD103C&REV_21\\3&11583659&0&B3","locationId":"PCI bus 0, device 22, function 3","friendlyName":"Intel(R) Active Management Technology - SOL (COM3)"},{"path":"COM6","manufacturer":"(Standard port types)","pnpId":"ACPI\\PNP0501\\5&15D725F4&0","friendlyName":"Communications Port (COM6)"}]
[2026-08-02 04:11:58] info: 	zh:adapter:discovery: Matched adapter=zstack path=COM19, score=1
[2026-08-02 04:11:58] debug: 	zh:controller: Starting with options '{"network":{"networkKeyDistribute":false,"networkKey":"HIDDEN","extendedPanID":[109,13,92,123,173,51,117,239],"panID":2881,"channelList":[11]},"serialPort":{"baudRate":115200,"rtscts":false,"path":"COM19","adapter":"zstack"},"adapter":{"disableLED":false},"databasePath":"D:\\InnovatsiiEMSSensorsCode\\esp-workspace\\ZigbeeMqtt\\zigbee2mqtt\\data\\database.db","databaseBackupPath":"D:\\InnovatsiiEMSSensorsCode\\esp-workspace\\ZigbeeMqtt\\zigbee2mqtt\\data\\database.db.backup","backupPath":"D:\\InnovatsiiEMSSensorsCode\\esp-workspace\\ZigbeeMqtt\\zigbee2mqtt\\data\\coordinator_backup.json"}'
[2026-08-02 04:11:58] info: 	zh:zstack:znp: Opening SerialPort with {"path":"COM19","baudRate":115200,"rtscts":false,"autoOpen":false}
[2026-08-02 04:11:58] info: 	zh:zstack:znp: Serialport opened
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: --> SREQ: SYS - ping - {"capabilities":1}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:writer: --> frame [254,0,33,1,32]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,1,89,6,61]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,1,89,6,61]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 1 - [89,6] - 61
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: <-- SRSP: SYS - ping - {"capabilities":1625}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: --> SREQ: SYS - ping - {"capabilities":1}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:writer: --> frame [254,0,33,1,32]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,1,89,6,61]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,1,89,6,61]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 1 - [89,6] - 61
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: <-- SRSP: SYS - ping - {"capabilities":1625}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: --> SREQ: SYS - version - {}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:writer: --> frame [254,0,33,2,35]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: <-- [254,10,97,2,2,1,2,7,1,70,217,52,1,0,196]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext [254,10,97,2,2,1,2,7,1,70,217,52,1,0,196]
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --> parsed 10 - 3 - 1 - 2 - [2,1,2,7,1,70,217,52,1,0] - 196
[2026-08-02 04:11:58] debug: 	zh:zstack:znp: <-- SRSP: SYS - version - {"transportrev":2,"product":1,"majorrel":2,"minorrel":7,"maintrel":1,"revision":20240710}
[2026-08-02 04:11:58] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-08-02 04:11:58] debug: 	zh:zstack: Adapter concurrent: 16
[2026-08-02 04:11:58] debug: 	zh:zstack: Detected znp version 'ZStack3x0' ({"transportrev":2,"product":1,"majorrel":2,"minorrel":7,"maintrel":1,"revision":20240710})
[2026-08-02 04:11:58] debug: 	zh:adapter:zstack:manager: beginning znp startup
